Taxon,Cluster
ERX325819,1
ERX303915,1
ERX717842,1
ERX113934,1
ERX110698,1
ERX325969,1
ERX062465,1
ERX325895,1
ERX333136,1
SRX2535660,1
ERX451385,1
SRX373676,1
SRX2551575,1
ERX352907,1
ERX482604,1
ERX139603,1
ERX451391,1
ERX114012,1
ERX025446,1
SRX2516203,1
ERX110761,1
ERX086666,1
ERX462124,1
ERX1086794,1
ERX1853113,1
ERX1998121,1
ERX513792,1
ERX1662830,1
ERX451012,1
SRX672583,1
ERX451336,1
SRX2535679,1
SRX2557099,1
ERX096714,1
ERX451430,1
ERX462328,1
ERX2004388,1
ERX333047,1
ERX204809,1
ERX956389,1
ERX416247,1
ERX139506,1
SRX390928,1
ERX305180,1
SRX451284,1
SRX467754,1
SRX1116097,1
SRX672559,1
SRX368034,1
SRX391757,1
SRX451266,1
ERX209541,1
ERX1150185,1
ERX116964,1
SRX467843,1
ERX139432,1
SRX1114304,1
ERX025427,1
SRX2551545,1
SRX2535240,1
ERX063838,1
ERX482630,1
SRX036311,1
ERX451220,1
SRX1422902,1
ERX1703895,1
ERX451400,1
ERX956380,1
ERX2007912,1
ERX325966,1
ERX2011566,1
ERX139420,1
ERX1086851,1
ERX1793912,1
ERX451075,1
ERX1997648,1
ERX132283,1
ERX204812,1
ERX1666480,1
ERX353388,1
SRX477075,1
ERX451064,1
ERX531884,1
ERX333083,1
ERX462327,1
SRX1605531,1
SRX2535273,1
ERX303873,1
ERX686853,1
ERX1666223,1
SRX477071,1
ERX506135,1
ERX1269129,1
ERX1028010,1
ERX139558,1
ERX025454,1
SRX2535412,1
SRX2122531,1
ERX451051,1
ERX110631,1
ERX113970,1
SRX477108,1
ERX451211,1
ERX505277,1
SRX463821,1
SRX887084,1
ERX140780,1
ERX513428,1
SRX2535458,1
SRX391761,1
ERX680982,1
ERX505324,1
SRX463720,1
SRX2535215,1
ERX030074,1
ERX305203,1
SRX672629,1
ERX333010,1
ERX212201,1
ERX096715,1
ERX979847,1
ERX505501,1
ERX1606255,1
ERX1853079,1
ERX389295,1
SRX007680,1
ERX2006905,1
ERX1997610,1
SRX2012785,1
SRX1605520,1
ERX482628,1
ERX025413,1
SRX1114341,1
SRX2122459,1
ERX513696,1
SRX313301,1
ERX325785,1
SRX672568,1
ERX1659301,1
ERX139363,1
SRX2516160,1
SRX463724,1
ERX2005694,1
SRX2122586,1
ERX2011988,1
ERX330871,1
ERX451318,1
ERX110833,1
ERX204831,1
ERX209542,1
ERX139536,1
ERX023550,1
ERX956729,1
ERX513786,1
SRX659063,1
ERX030067,1
ERX353398,1
SRX672654,1
ERX085222,1
ERX110749,1
ERX330665,1
ERX926802,1
ERX956517,1
ERX1997656,1
ERX333000,1
SRX392539,1
ERX807517,1
ERX325987,1
ERX807475,1
SRX004565,1
ERX096689,1
ERX096631,1
SRX463091,1
ERX113386,1
ERX1782574,1
ERX462322,1
ERX1662317,1
SRX1885616,1
ERX505086,1
SRX145227,1
ERX451128,1
ERX095271,1
SRX1114246,1
ERX164854,1
SRX468108,1
SRX391728,1
ERX676545,1
ERX513636,1
SRX2535575,1
ERX139392,1
ERX140772,1
SRX373683,1
ERX956687,1
SRX2551643,1
SRX477137,1
ERX139471,1
ERX513734,1
ERX676564,1
ERX349240,1
SRX1887787,1
SRX392179,1
ERX096720,1
SRX467811,1
ERX391878,1
ERX325817,1
ERX389161,1
ERX1626076,1
ERX2004700,1
ERX023519,1
ERX451230,1
SRX1114321,1
ERX096735,1
ERX110695,1
ERX451025,1
ERX451410,1
ERX505484,1
ERX482605,1
ERX1086730,1
SRX468148,1
ERX505267,1
SRX390953,1
ERX303888,1
ERX113957,1
ERX164917,1
SRX313296,1
ERX451316,1
ERX276149,1
ERX212182,1
SRX1887392,1
SRX390862,1
ERX212239,1
ERX330775,1
SRX761678,1
SRX036312,1
ERX113986,1
SRX2535601,1
ERX030077,1
ERX1520506,1
ERX482633,1
ERX325823,1
ERX2011564,1
ERX020510,1
ERX147810,1
ERX513349,1
ERX451056,1
ERX676581,1
ERX212194,1
ERX353379,1
ERX482598,1
ERX209427,1
SRX451143,1
SRX468268,1
ERX062321,1
ERX1626299,1
ERX042895,1
ERX021294,1
ERX204877,1
ERX956520,1
ERX325907,1
ERX110717,1
SRX174128,1
ERX635172,1
ERX1997654,1
ERX325984,1
ERX140762,1
ERX325978,1
SRX2551366,1
ERX807553,1
ERX132398,1
ERX212150,1
SRX467784,1
ERX391948,1
ERX532070,1
ERX1659861,1
ERX2004126,1
ERX333087,1
ERX556642,1
SRX1885407,1
ERX110658,1
ERX204868,1
SRX2122488,1
ERX113391,1
ERX328692,1
SRX391687,1
SRX1116137,1
SRX3230782,1
ERX1666252,1
ERX116930,1
ERX1998090,1
SRX464070,1
SRX1497266,1
SRX2535661,1
ERX025419,1
ERX1048188,1
ERX116955,1
ERX326040,1
ERX556639,1
ERX1048142,1
ERX1666560,1
ERX1853103,1
ERX330834,1
ERX325841,1
SRX2147148,1
ERX063821,1
ERX023465,1
ERX1048210,1
ERX1606205,1
ERX1120225,1
ERX110639,1
ERX212222,1
SRX2551471,1
SRX392122,1
ERX1520503,1
ERX2004135,1
ERX030065,1
SRX368048,1
ERX505318,1
ERX942880,1
ERX2011857,1
ERX1222077,1
ERX116967,1
ERX095295,1
ERX186895,1
ERX276146,1
ERX1103590,1
ERX209543,1
ERX276116,1
SRX2515450,1
ERX063929,1
ERX139386,1
ERX950149,1
ERX325782,1
ERX2004343,1
ERX110860,1
ERX451129,1
SRX477106,1
SRX467846,1
ERX209514,1
SRX672613,1
ERX686677,1
ERX451027,1
SRX2535685,1
ERX186862,1
ERX416231,1
ERX095273,1
ERX330748,1
ERX330802,1
ERX392008,1
ERX462320,1
ERX1666641,1
ERX330699,1
SRX451134,1
ERX505523,1
ERX462120,1
SRX364196,1
ERX2006901,1
ERX451021,1
ERX1043647,1
ERX451374,1
SRX400091,1
ERX212227,1
SRX364378,1
ERX2005976,1
ERX1606259,1
SRX468102,1
ERX513564,1
ERX110873,1
ERX451106,1
SRX1114269,1
SRX762617,1
ERX1583740,1
ERX807411,1
ERX333091,1
ERX451419,1
SRX392199,1
ERX694947,1
ERX676517,1
ERX223845,1
ERX1035179,1
ERX147790,1
ERX204843,1
ERX659149,1
ERX326072,1
SRX468251,1
ERX674905,1
SRX146580,1
ERX086703,1
ERX717820,1
ERX384332,1
ERX114010,1
ERX389243,1
ERX276175,1
ERX1830474,1
ERX2005692,1
SRX359220,1
SRX2535176,1
ERX204823,1
ERX1711268,1
ERX147768,1
ERX113979,1
ERX2006416,1
SRX449927,1
ERX1583745,1
ERX1997644,1
SRX463552,1
SRX2516173,1
SRX392107,1
SRX1884960,1
SRX2122577,1
ERX1606265,1
ERX063815,1
ERX1852812,1
SRX463594,1
ERX212249,1
SRX449800,1
SRX659054,1
SRX2551624,1
SRX981318,1
SRX2516140,1
ERX1120583,1
ERX212226,1
ERX147977,1
ERX451421,1
ERX2131678,1
ERX326014,1
ERX676561,1
SRX276953,1
ERX095275,1
SRX672649,1
ERX139579,1
ERX1703900,1
SRX659016,1
ERX1662842,1
ERX451420,1
ERX712397,1
ERX462158,1
ERX116965,1
ERX451306,1
ERX139366,1
SRX2535475,1
ERX942826,1
SRX467891,1
ERX025485,1
ERX186360,1
ERX330883,1
ERX451438,1
SRX2551459,1
SRX468283,1
ERX482589,1
SRX1051456,1
ERX451366,1
ERX531910,1
ERX025530,1
ERX330733,1
ERX2006813,1
ERX1852987,1
ERX451249,1
ERX1269230,1
ERX333135,1
ERX164875,1
SRX2535502,1
ERX110835,1
ERX1606231,1
ERX139355,1
ERX212265,1
ERX462181,1
SRX004595,1
ERX330795,1
ERX095268,1
